Date ,Open,High,Low,Last,Close,Volume,Value
20-Sep-2021,137.6,139.35,133.2,133.85,134.3,21535092,"2,947,446,414.10"
17-Sep-2021,140.85,141.5,136.1,137.55,137.9,27560843,"3,819,689,986.95"
16-Sep-2021,140,142,138.5,140.1,140.25,24490647,"3,427,993,142.40"
15-Sep-2021,133.1,142.3,132.8,139.9,140.05,68917060,"9,630,505,053.70"
14-Sep-2021,131.5,133.3,131.3,133.15,133,13305823,"1,761,891,243.85"
13-Sep-2021,132.75,132.75,130.4,131.2,131.05,13771980,"1,806,194,785.50"
09-Sep-2021,133.2,134.3,131.75,132.5,132.75,14453584,"1,919,949,010.80"
08-Sep-2021,130.6,133.5,129.5,133.3,133.25,16351745,"2,158,101,446.85"
07-Sep-2021,132.4,132.55,129.25,129.9,130.05,14561241,"1,905,766,034.25"
06-Sep-2021,134.4,134.6,132,132.1,132.2,14304796,"1,904,386,207.75"
03-Sep-2021,134.05,135.45,133.25,133.75,133.85,19000628,"2,549,137,136.15"
02-Sep-2021,133.85,134.8,132.6,133.6,133.6,25276744,"3,380,393,976.25"
01-Sep-2021,129.7,134.25,128.7,133.3,133.4,31166001,"4,115,983,042.00"
31-Aug-2021,130.3,130.7,128.25,129,129.05,24301446,"3,140,248,855.10"
30-Aug-2021,128.4,130.1,128,129.05,129.15,17545528,"2,263,442,141.75"
27-Aug-2021,125.65,127.6,125.2,127.35,127.25,12708091,"1,610,599,089.00"
26-Aug-2021,126.45,126.6,124.55,125.75,125.65,16968193,"2,129,099,127.30"
25-Aug-2021,126.4,127.5,125.5,126.3,126.05,18144345,"2,295,983,976.40"
24-Aug-2021,125,126.6,123.65,126.15,125.9,22809811,"2,851,814,674.65"
23-Aug-2021,127.1,127.85,121.7,124.95,124.95,30434681,"3,804,948,323.40"
20-Aug-2021,129,130.2,125.25,125.35,126.2,27402061,"3,510,601,735.50"
18-Aug-2021,131.7,131.8,130.1,130.4,130.45,18082061,"2,365,295,914.25"
17-Aug-2021,132.1,132.95,128.5,130.85,131.1,21755033,"2,844,775,617.60"
16-Aug-2021,132.55,134.05,131.65,132.2,132.1,17472608,"2,317,844,341.85"
13-Aug-2021,134.35,134.5,132,132.5,132.55,23715152,"3,163,043,513.85"
12-Aug-2021,130.25,134.2,129.85,133.65,133.65,31898731,"4,218,871,845.00"
11-Aug-2021,130.3,131.65,126.5,129.75,129.6,32222624,"4,146,110,675.10"
10-Aug-2021,132.45,133.75,127.05,130,130.05,31526384,"4,132,561,712.55"
09-Aug-2021,137,137,130.3,132.15,132.05,66874756,"8,864,938,268.75"
06-Aug-2021,135.25,136.8,134.3,135.3,135.15,47743493,"6,480,777,181.05"
05-Aug-2021,132.15,135.4,129.6,134.75,134.55,39952286,"5,298,253,085.05"
04-Aug-2021,133,134.65,130.1,131.9,131.65,33758053,"4,467,536,416.40"
03-Aug-2021,134.4,135.5,132.2,132.5,132.6,50457587,"6,740,238,990.45"
02-Aug-2021,126.55,134,125.55,133.35,133.45,102355625,"13,393,296,329.45"
30-Jul-2021,122.6,126.65,122.3,125.15,125,30163350,"3,772,188,967.55"
29-Jul-2021,120.75,124,120.7,123,122.75,16366211,"1,999,828,577.60"
28-Jul-2021,121.45,121.85,118.4,120.55,120.35,19451371,"2,336,835,241.45"
27-Jul-2021,122.8,123.75,120.2,121.45,121.15,16292819,"1,988,355,150.80"
26-Jul-2021,123,123.75,122.1,122.8,122.6,14838935,"1,824,393,455.80"
23-Jul-2021,124.9,125.45,122.6,123,122.9,18344408,"2,273,988,797.75"
22-Jul-2021,123.4,124.2,122.4,124.1,123.7,20890960,"2,572,784,670.55"
20-Jul-2021,125.65,126.35,121.2,121.95,121.8,48822351,"6,003,641,073.45"
19-Jul-2021,126.25,128.45,124.6,125.65,125.8,65614163,"8,322,674,149.85"
